timestamp,eeg_adc,eeg_v,ecg_adc,ecg_v,spo2_percent
1331321485,3132,2.523956043956044,2027,0.0024175824175824176,96.6
1331331485,2981,2.402271062271062,2013,-0.008864468864468863,96.6
1331341485,3260,2.6271062271062267,2033,0.007252747252747252,96.6
1331351485,3118,2.5126739926739923,2017,-0.005641025641025641,96.6
1331361485,2975,2.3974358974358974,2037,0.010476190476190476,96.6
1331371485,2565,2.067032967032967,1977,-0.037875457875457874,96.6
1331381485,2395,1.93003663003663,1949,-0.06043956043956044,96.6
1331391485,2936,2.3660073260073258,1992,-0.025787545787545788,96.6
1331401485,3444,2.775384615384615,2035,0.008864468864468863,96.6
1331411485,3134,2.5255677655677653,2055,0.02498168498168498,96.6
1331421485,2829,2.2797802197802195,2005,-0.01531135531135531,96.6
1331431485,2649,2.1347252747252745,1991,-0.026593406593406595,96.6
1331441485,2589,2.0863736263736263,1967,-0.04593406593406593,96.6
1331451485,2711,2.1846886446886447,1991,-0.026593406593406595,97.2
1331461485,2169,1.7479120879120877,1965,-0.047545787545787546,97.2
1331471485,1735,1.398168498168498,1900,-0.09992673992673992,97.2
1331481485,1445,1.1644688644688646,1885,-0.112014652014652,97.2
1331491485,1903,1.5335531135531135,1920,-0.0838095238095238,97.2
1331501485,1846,1.4876190476190476,1945,-0.06366300366300366,97.2
1331511485,1691,1.3627106227106225,1972,-0.0419047619047619,97.2
1331521485,1403,1.1306227106227105,1980,-0.03545787545787545,97.2
1331531485,1243,1.0016849816849815,1973,-0.0410989010989011,97.2
1331541485,1937,1.5609523809523809,2069,0.03626373626373627,97.2
1331551485,1877,1.5126007326007325,2056,0.025787545787545788,97.2
1331561485,2066,1.6649084249084247,1975,-0.03948717948717949,97.2
1331571485,1303,1.05003663003663,1907,-0.09428571428571428,97.2
1331581485,1093,0.8808058608058608,1832,-0.15472527472527473,97.2
1331591485,827,0.6664468864468864,1781,-0.1958241758241758,97.2
1331601485,1047,0.8437362637362636,1815,-0.16842490842490843,97.2
1331611485,923,0.7438095238095238,1813,-0.17003663003663003,97.2
1331621485,665,0.5358974358974359,1800,-0.1805128205128205,97.2
1331631485,1341,1.0806593406593406,1844,-0.14505494505494507,97.2
1331641485,2205,1.7769230769230768,1914,-0.08864468864468865,97.2
1331651485,2087,1.6818315018315015,2012,-0.00967032967032967,97.2
1331661485,1675,1.3498168498168497,2175,0.12168498168498168,97.2
1331671485,1141,0.9194871794871795,2358,0.26915750915750913,97.2
1331681485,1747,1.4078388278388276,2860,0.6736996336996337,97.2
1331691485,949,0.7647619047619048,2030,0.004835164835164835,97.2
1331701485,1031,0.8308424908424907,1351,-0.5423443223443223,97.2
1331711485,1407,1.1338461538461537,1446,-0.4657875457875458,97.2
1331721485,1595,1.2853479853479852,1705,-0.25706959706959703,97.2
1331731485,2041,1.6447619047619046,1875,-0.12007326007326008,97.2
1331741485,1167,0.9404395604395603,1875,-0.12007326007326008,97.2
1331751485,2823,2.274945054945055,1977,-0.037875457875457874,97.2
1331761485,2781,2.241098901098901,2029,0.004029304029304029,97.2
1331771485,2390,1.926007326007326,2007,-0.0136996336996337,97.2
1331781485,2365,1.9058608058608055,2010,-0.011282051282051281,97.2
1331791485,1643,1.324029304029304,1991,-0.026593406593406595,97.2
1331801485,1021,0.8227838827838827,1907,-0.09428571428571428,97.2
1331811485,1685,1.3578754578754577,1949,-0.06043956043956044,97.2
1331821485,1160,0.9347985347985347,1944,-0.06446886446886446,97.2
1331831485,1567,1.2627838827838826,1957,-0.05399267399267399,97.2
1331841485,1995,1.6076923076923075,1993,-0.02498168498168498,97.2
1331851485,1726,1.3909157509157508,1991,-0.026593406593406595,97.2
1331861485,1351,1.0887179487179486,1995,-0.02336996336996337,97.2
1331871485,1145,0.9227106227106227,1971,-0.04271062271062271,97.2
1331881485,920,0.7413919413919414,1975,-0.03948717948717949,97.2
1331891485,1955,1.5754578754578754,2039,0.012087912087912087,97.2
1331901485,903,0.7276923076923076,2026,0.0016117216117216117,97.2
1331911485,1003,0.8082783882783882,2019,-0.004029304029304029,97.2
1331921485,595,0.4794871794871795,1993,-0.02498168498168498,97.2
1331931485,1169,0.942051282051282,2021,-0.0024175824175824176,97.2
1331941485,2041,1.6447619047619046,2099,0.06043956043956044,97.2
1331951485,1011,0.8147252747252747,2034,0.008058608058608058,97.2
1331961485,1931,1.556117216117216,2055,0.02498168498168498,97.2
1331971485,2245,1.8091575091575092,2037,0.010476190476190476,97.2
1331981485,2735,2.2040293040293037,2008,-0.012893772893772894,97.2
1331991485,2634,2.1226373626373625,1989,-0.028205128205128206,97.2
1332001485,2677,2.157289377289377,1929,-0.07655677655677656,97.2
1332011485,3300,2.659340659340659,1917,-0.08622710622710622,97.2
1332021485,2744,2.211282051282051,1910,-0.09186813186813186,97.2
1332031485,1567,1.2627838827838826,1829,-0.1571428571428571,97.2
1332041485,2851,2.297509157509157,1873,-0.12168498168498168,97.2
1332051485,2667,2.149230769230769,1915,-0.08783882783882783,97.2
1332061485,3795,3.058241758241758,1977,-0.037875457875457874,97.2
1332071485,2463,1.9848351648351645,1915,-0.08783882783882783,97.2
1332081485,1611,1.2982417582417582,1843,-0.14586080586080585,97.2
1332091485,517,0.4166300366300366,1829,-0.1571428571428571,97.2
1332101485,0,0.0,1709,-0.25384615384615383,97.2
1332111485,14,0.011282051282051281,1704,-0.25787545787545785,97.2
1332121485,285,0.22967032967032966,1736,-0.23208791208791207,97.2
1332131485,442,0.35619047619047617,1786,-0.19179487179487179,97.2
1332141485,0,0.0,1719,-0.24578754578754577,97.2
1332151485,663,0.5342857142857143,1771,-0.20388278388278389,97.2
1332161485,0,0.0,1768,-0.2063003663003663,97.2
1332171485,1645,1.3256410256410256,1851,-0.13941391941391942,97.2
1332181485,3603,2.9035164835164835,2045,0.016923076923076923,97.2
1332191485,2183,1.759194139194139,2020,-0.0032234432234432234,97.2
1332201485,2137,1.7221245421245421,2037,0.010476190476190476,97.2
1332211485,2439,1.9654945054945054,2069,0.03626373626373627,97.2
1332221485,4095,3.3,2147,0.09912087912087912,97.2
1332231485,789,0.6358241758241758,1973,-0.0410989010989011,97.2
1332241485,1801,1.4513553113553113,1998,-0.02095238095238095,97.2
1332251485,2707,2.181465201465201,2111,0.0701098901098901,97.2
1332261485,3218,2.593260073260073,2125,0.08139194139194139,97.2
1332271485,2787,2.245934065934066,2141,0.09428571428571428,97.2
1332281485,3283,2.6456410256410257,2075,0.0410989010989011,97.2
1332291485,4014,3.2347252747252746,2093,0.0556043956043956,97.2
1332301485,3641,2.9341391941391937,2055,0.02498168498168498,97.2
1332311485,4095,3.3,2093,0.0556043956043956,97.2
1332321485,1573,1.2676190476190476,1926,-0.07897435897435898,97.2
1332331485,2437,1.9638827838827837,1915,-0.08783882783882783,97.2
1332341485,2419,1.9493772893772894,1967,-0.04593406593406593,97.2
1332351485,2887,2.3265201465201466,1995,-0.02336996336996337,97.2
1332361485,2039,1.6431501831501831,1947,-0.06205128205128205,97.2
1332371485,2040,1.6439560439560439,2014,-0.008058608058608058,97.2
1332381485,3311,2.6682051282051282,2313,0.2328937728937729,97.2
1332391485,1688,1.3602930402930402,2623,0.4827106227106227,97.2
1332401485,1331,1.0726007326007325,2547,0.4214652014652014,97.2
1332411485,1663,1.3401465201465201,1775,-0.20065934065934066,97.2
1332421485,2419,1.9493772893772894,1491,-0.42952380952380953,97.2
1332431485,1919,1.5464468864468863,1655,-0.29736263736263735,97.2
1332441485,1325,1.0677655677655677,1752,-0.2191941391941392,97.2
1332451485,1619,1.3046886446886445,1803,-0.17809523809523808,94.3
1332461485,2361,1.9026373626373623,1884,-0.11282051282051282,94.3
1332471485,1941,1.5641758241758241,1873,-0.12168498168498168,94.3
1332481485,1972,1.5891575091575092,1895,-0.10395604395604395,94.3
1332491485,843,0.6793406593406592,1837,-0.15069597069597068,94.3
1332501485,1211,0.9758974358974358,1831,-0.1555311355311355,94.3
1332511485,2291,1.846227106227106,1931,-0.07494505494505493,94.3
1332521485,2147,1.7301831501831502,1992,-0.025787545787545788,94.3
1332531485,1205,0.971062271062271,1931,-0.07494505494505493,94.3
1332541485,2200,1.7728937728937728,1999,-0.020146520146520144,94.3
1332551485,1237,0.9968498168498168,1927,-0.07816849816849816,94.3
1332561485,1628,1.3119413919413918,1949,-0.06043956043956044,94.3
1332571485,1931,1.556117216117216,2029,0.004029304029304029,94.3
1332581485,1787,1.44007326007326,1983,-0.03304029304029304,94.3
1332591485,2942,2.3708424908424908,2093,0.0556043956043956,94.3
1332601485,505,0.40695970695970696,1955,-0.0556043956043956,94.3
1332611485,1363,1.0983882783882783,1961,-0.05076923076923077,94.3
1332621485,1971,1.5883516483516482,2079,0.044322344322344324,94.3
1332631485,1517,1.2224908424908425,2057,0.026593406593406595,94.3
1332641485,2631,2.1202197802197804,2104,0.06446886446886446,94.3
1332651485,1853,1.4932600732600732,2105,0.06527472527472526,94.3
1332661485,3355,2.7036630036630034,2149,0.10073260073260072,94.3
1332671485,4095,3.3,2207,0.14747252747252745,94.3
1332681485,4095,3.3,2197,0.13941391941391942,94.3
1332691485,4095,3.3,2189,0.13296703296703297,94.3
1332701485,4095,3.3,2119,0.07655677655677656,94.3
1332711485,4095,3.3,2087,0.05076923076923077,94.3
1332721485,4007,3.2290842490842486,2021,-0.0024175824175824176,94.3
1332731485,3547,2.8583882783882784,1956,-0.0547985347985348,94.3
1332741485,4095,3.3,1991,-0.026593406593406595,94.3
1332751485,4095,3.3,2005,-0.01531135531135531,94.3
1332761485,3362,2.709304029304029,1992,-0.025787545787545788,94.3
1332771485,1965,1.5835164835164834,1855,-0.13619047619047617,94.3
1332781485,2153,1.735018315018315,1848,-0.1418315018315018,94.3
1332791485,2476,1.995311355311355,1912,-0.09025641025641025,94.3
1332801485,2073,1.6705494505494505,1879,-0.11684981684981684,94.3
1332811485,1562,1.2587545787545786,1865,-0.12813186813186814,94.3
