time,data
1193341485,97.4
1193351485,97.4
1193361485,97.4
1193371485,97.4
1193381485,97.4
1193391485,97.4
1193401485,97.4
1193411485,97.4
1193421485,97.4
1193431485,97.4
1193441485,97.4
1193451485,98.3
1193461485,98.3
1193471485,98.3
1193481485,98.3
1193491485,98.3
1193501485,98.3
1193511485,98.3
1193521485,98.3
1193531485,98.3
1193541485,98.3
1193551485,98.3
1193561485,98.3
1193571485,98.3
1193581485,98.3
1193591485,98.3
1193601485,98.3
1193611485,98.3
1193621485,98.3
1193631485,98.3
1193641485,98.3
1193651485,98.3
1193661485,98.3
1193671485,98.3
1193681485,98.3
1193691485,98.3
1193701485,98.3
1193711485,98.3
1193721485,98.3
1193731485,98.3
1193741485,98.3
1193751485,98.3
1193761485,98.3
1193771485,98.3
1193781485,98.3
1193791485,98.3
1193801485,98.3
1193811485,98.3
1193821485,98.3
1193831485,98.3
1193841485,98.3
1193851485,98.3
1193861485,98.3
1193871485,98.3
1193881485,98.3
1193891485,98.3
1193901485,98.3
1193911485,98.3
1193921485,98.3
1193931485,98.3
1193941485,98.3
1193951485,98.3
1193961485,98.3
1193971485,98.3
1193981485,98.3
1193991485,98.3
1194001485,98.3
1194011485,98.3
1194021485,98.3
1194031485,98.3
1194041485,98.3
1194051485,98.3
1194061485,98.3
1194071485,98.3
1194081485,98.3
1194091485,98.3
1194101485,98.3
1194111485,98.3
1194121485,98.3
1194131485,98.3
1194141485,98.3
1194151485,98.3
1194161485,98.3
1194171485,98.3
1194181485,98.3
1194191485,98.3
1194201485,98.3
1194211485,98.3
1194221485,98.3
1194231485,98.3
1194241485,98.3
1194251485,98.3
1194261485,98.3
1194271485,98.3
1194281485,98.3
1194291485,98.3
1194301485,98.3
1194311485,98.3
1194321485,98.3
1194331485,98.3
1194341485,98.3
1194351485,98.3
1194361485,98.3
1194371485,98.3
1194381485,98.3
1194391485,98.3
1194401485,98.3
1194411485,98.3
1194421485,98.3
1194431485,98.3
1194441485,98.3
1194451485,97.8
1194461485,97.8
1194471485,97.8
1194481485,97.8
1194491485,97.8
1194501485,97.8
1194511485,97.8
1194521485,97.8
